   Spkr_Octave_Decorr   Spkr_FDN   T-design_FDN   T-design_Widening   Harpy   Compass   FOA_Referenz   scene   participant
                  0.0       64.0           78.0                 0.0   100.0       0.0           21.0       1             1
                 35.0       68.0           41.0                 0.0    81.0       0.0          100.0       2             1
                  0.0       40.0           33.0                22.0    50.0       0.0           61.0       3             1
                 59.0       84.0           71.0                26.0    16.0       0.0          100.0       4             1
                  0.0       74.0           41.0                62.0    85.0      12.0          100.0       1             2
                 37.0       14.0           10.0                22.0   100.0      60.0           83.0       2             2
                  0.0       44.0            0.0                62.0    82.0      14.0          100.0       3             2
                 38.0       48.0            0.0                11.0   100.0       0.0           96.0       4             2
                 17.0       15.0           17.0                58.0    29.0       6.0           80.0       1             3
                 76.0       63.0           41.0                14.0    85.0      25.0           89.0       2             3
                 11.0       35.0           30.0                62.0    80.0       0.0           71.0       3             3
                 40.0       37.0           79.0                37.0    78.0       5.0           82.0       4             3
                 50.0       47.0           57.0                81.0    40.0       0.0           64.0       1             4
                 72.0       50.0           62.0                36.0    56.0      25.0           48.0       2             4
                 59.0       43.0           79.0                40.0    76.0      25.0           60.0       3             4
                 68.0       42.0           50.0                21.0    54.0      38.0           50.0       4             4
                  5.0       37.0           20.0                30.0    76.0       0.0           60.0       1             5
                 62.0       79.0           56.0                27.0    90.0       5.0           68.0       2             5
                 14.0       38.0           23.0                48.0    85.0       3.0           67.0       3             5
                 36.0       50.0           27.0                60.0    75.0      12.0           71.0       4             5
