   Spkr_Octave_Decorr   Spkr_FDN   T-design_FDN   T-design_Widening   Harpy   Compass   FOA_Referenz   scene   participant
                 17.0       60.0           50.0                10.0    94.0      33.0           70.0       1             1
                 36.0       52.0           44.0                41.0    86.0       0.0          100.0       2             1
                  8.0       40.0           32.0                25.0    79.0       2.0           69.0       3             1
                 20.0       60.0           81.0                60.0    40.0       0.0           60.0       4             1
                  0.0       50.0           24.0                12.0   100.0       0.0           73.0       1             2
                 38.0       79.0           28.0                21.0    65.0       0.0          100.0       2             2
                 10.0       68.0           47.0                25.0   100.0       0.0          100.0       3             2
                 54.0      100.0           13.0                23.0    71.0       0.0           87.0       4             2
                 28.0       60.0           19.0                25.0    85.0       4.0           85.0       1             3
                 17.0       78.0           62.0                19.0    79.0      60.0           86.0       2             3
                  6.0       33.0           20.0                77.0    81.0       0.0           85.0       3             3
                 79.0       73.0           67.0                40.0    78.0       3.0           79.0       4             3
                 67.0       56.0           32.0                50.0    50.0      28.0           38.0       1             4
                 40.0       34.0           30.0                16.0    21.0      49.0           73.0       2             4
                 62.0       34.0           50.0                44.0    57.0      24.0           50.0       3             4
                 20.0       26.0           30.0                56.0    47.0       6.0           69.0       4             4
                 15.0       38.0           26.0                49.0    53.0      20.0           70.0       1             5
                 38.0       50.0           22.0                15.0    59.0       6.0           70.0       2             5
                 45.0       49.0           23.0                29.0    66.0      15.0           84.0       3             5
                 18.0       72.0           32.0                50.0    57.0       0.0           68.0       4             5
